;NU_INSCRICAO;NU_ANO;TP_ESCOLA;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
13963;180008502832;2018;1;51174804.0;5102637.0;Campo Novo do Parecis;1.0;2.0;418.4;507.0;374.9;467.3;600.0
13964;180008076079;2018;2;43139817.0;4318804.0;São Lourenço do Sul;2.0;2.0;378.6;590.2;480.2;545.6;640.0
13965;180007258403;2018;1;43246400.0;4317806.0;Santo Augusto;1.0;2.0;576.0;607.1;498.7;459.4;520.0
13966;180008503900;2018;2;21042357.0;2107605.0;Palmeirândia;2.0;2.0;544.8;613.3;562.5;427.0;340.0
13967;180008493311;2018;2;29223687.0;2904308.0;Brejões;2.0;2.0;458.8;589.5;423.6;447.7;300.0
13968;180008502845;2018;2;33166382.0;3305554.0;Seropédica;2.0;2.0;;;;;
13969;180007280220;2018;2;28012739.0;2800704.0;Brejo Grande;2.0;2.0;471.6;541.7;488.4;547.1;700.0
13970;180008507936;2018;2;21241228.0;2102408.0;Cajapió;2.0;2.0;513.3;429.2;385.9;389.7;140.0
13971;180008058448;2018;2;21022607.0;2111300.0;São Luís;2.0;2.0;;;;;
13972;180008077993;2018;2;41354001.0;4125605.0;São Mateus do Sul;2.0;2.0;;;;;
13973;180008517655;2018;2;42103223.0;4203501.0;Campo Erê;2.0;2.0;501.1;441.9;519.4;524.2;640.0
13974;180007275441;2018;2;33041326.0;3303906.0;Petrópolis;2.0;2.0;555.7;602.0;579.0;547.0;600.0
13975;180007278718;2018;2;35035336.0;3522406.0;Itapeva;2.0;2.0;557.1;585.8;547.6;493.5;360.0
13976;180008496627;2018;2;22029869.0;2211100.0;União;2.0;2.0;452.3;590.3;491.2;490.1;580.0
13977;180008524652;2018;2;35017929.0;3504107.0;Atibaia;2.0;2.0;467.7;620.0;559.2;649.5;640.0
13978;180008504962;2018;2;43059104.0;4307500.0;Espumoso;2.0;2.0;;;;;
13979;180008061767;2018;2;31124516.0;3143005.0;Monte Belo;2.0;1.0;573.7;594.4;385.5;614.0;360.0
13980;180008079415;2018;1;52096408.0;5210208.0;Iporá;1.0;2.0;601.9;537.3;567.4;422.2;700.0
13981;180008513425;2018;1;31347272.0;3103405.0;Araçuaí;1.0;2.0;616.4;636.5;599.4;722.5;760.0
13982;180008514605;2018;2;43059104.0;4307500.0;Espumoso;2.0;2.0;;597.0;420.3;;380.0
13983;180007287509;2018;2;26108038.0;2603454.0;Camaragibe;2.0;2.0;389.3;578.2;528.0;611.4;380.0
